401	2167132	3213	381
402	2182706	230	94
403	2184045	2070	414
404	2195413	795	229
405	2199947	38	28
406	2200238	679	197
407	2204157	1014	414
408	2209951	124	58
409	2210732	1401	315
410	2218069	713	201
411	2221834	128	69
412	2222614	400	112
413	2224734	1705	550
414	2234418	360	223
415	2236675	338	200
416	2238727	48	26
417	2239025	7	6
418	2239078	193	105
419	2240292	184	123
420	2241370	329	175
421	2243304	700	268
422	2247350	107	74
423	2248036	34	24
424	2248278	32	19
425	2248494	47	29
426	2248798	6	6
427	2248847	109	46
428	2249557	701	402
429	2253729	595	246
430	2257245	20	16
431	2257392	205	111
432	2258688	593	300
433	2262324	105	78
434	2263048	20	13
435	2263197	53	25
436	2263544	511	211
437	2266478	519	291
438	2269507	285	148
439	2271260	320	129
440	2273055	39	19
441	2273296	793	401
442	2278025	48	41
443	2278361	30	27
444	2278588	1255	500
445	2285581	4498	451
446	2305150	509	312
447	2308256	583	279
448	2311616	4192	759
449	2333131	668	229
450	2337044	372	130
451	2339103	1029	535
452	2344973	1353	286
453	2352259	1565	341
454	2360045	375	148
455	2362183	2417	496
456	2374849	243	92
457	2376288	2524	251
458	2388387	25	21
459	2388584	12	11
460	2388677	195	104
461	2389853	1133	512
462	2395992	850	425
463	2400982	344	134
464	2402897	241	168
465	2404451	564	158
466	2407423	96	68
467	2408077	201	83
468	2409249	119	50
469	2409928	490	226
470	2412898	2702	558
471	2427173	772	431
472	2431564	62	32
473	2431940	190	63
474	2432938	190	135
475	2434162	700	293
476	2438289	1015	382
477	2443994	26	26
478	2444186	158	85
479	2445195	285	130
480	2446867	612	167
481	2450144	705	406
482	2454387	6	6
483	2454437	198	111
484	2455671	1126	459
485	2461774	71	44
486	2462232	3775	788
487	2482353	618	396
488	2486078	1629	667
489	2495116	54	40
490	2495496	241	148
491	2496966	228	129
492	2498423	335	98
493	2500296	69	44
494	2500746	169	97
495	2501819	119	91
496	2502600	927	326
497	2507846	18	15
498	2507983	8	8
499	2508046	25	20
500	2508222	28	21
501	2508424	254399	108
502	3526498	2885	884
503	3541933	41	34
504	3542224	120	85
505	3543020	664	335
506	3546992	22	16
507	3547156	934	495
508	3552624	22	11
509	3552774	4	4
510	3552809	108	87
511	3553527	1246	530
512	3560541	5	5
513	3560582	10	9
514	3560661	376	216
515	3562966	218	126
516	3564335	97	75
517	3564997	48	36
518	3565326	790	362
519	3569899	119	82
520	3570689	655	385
521	3574652	65	50
522	3575095	12	8
523	3575179	97	76
524	3575829	108	77
525	3576512	50	40
526	3576851	17	15
527	3576975	5	5
528	3577017	802	336
529	3581802	39	27
530	3582065	11	11
531	3582151	6	6
532	3582201	14	8
533	3582294	6	5
534	3582342	732	399
535	3586600	4	4
536	3586635	466	122
537	3589289	27	21
538	3589495	50	33
539	3589828	58	45
540	3590236	4	4
541	3590271	4	4
542	3590306	622	224
543	3593991	69	59
544	3594421	11	10
545	3594504	5	5
546	3594546	4	4
547	3594581	126	39
548	3595211	29	17
549	3595390	7	7
550	3595448	6	6
551	3595498	379	247
552	3597799	53	38
553	3598168	104	73
554	3598826	155	123
555	3599823	71	39
556	3600250	937	316
557	3605464	19	11
558	3605588	6	6
559	3605639	644	328
560	3609560	98	77
561	3610211	113	51
562	3610893	136	74
563	3611726	219	122
564	3613128	176	93
565	3614198	71	61
566	3614691	1371	318
567	3622174	6	6
568	3622224	11	8
569	3622305	4	4
570	3622340	4	4
571	3622375	4	4
572	3622410	77	63
573	3622946	798	357
574	3627451	80	55
575	3627963	35	24
576	3628194	362	216
577	3630361	961	372
578	3635743	104	71
579	3636427	408	155
580	3638748	922	334
581	3643943	793	255
582	3648362	2029	609
583	3659694	900	432
584	3665021	45	29
585	3665302	4441	894
586	3687098	509	182
587	3689926	1594	705
588	3698839	1110	502
589	3705203	87	47
590	3705766	38	21
591	3706032	36	29
592	3706295	691	272
593	3710112	194	50
594	3711328	4	4
595	3711364	79	30
596	3711861	17	13
597	3711994	89	49
598	3712587	19	19
599	3712734	1854	455
600	3722988	140	73
601	3723878	260	156
602	3725519	1065	472
603	3731531	866	426
604	3736651	192	148
605	3737885	669	347
606	3741731	36	35
607	3742001	112	64
608	3742703	430	294
609	3745162	330	219
610	3747234	447	142
611	3749698	466	73
612	3752244	804	389
613	3756960	359	90
614	3758855	1730	306
615	3767513	799	417
616	3772137	12	12
617	3772230	4	4
618	3772266	658	242
619	3776012	572	251
620	3779477	2651	803
621	3794107	1160	454
622	3800805	835	410
623	3805678	875	299
624	3810685	371	232
625	3812940	228	161
626	3814401	310	107
627	3816107	39	18
628	3816370	453	274
629	3819171	37	32
630	3819433	236	106
631	3820773	278	110
632	3822461	74	40
633	3822933	253	142
634	3824458	216	139
635	3825784	114	86
636	3826496	61	20
637	3826839	342	146
638	3828842	200	136
639	3830105	1222	558
640	3837360	51	42
641	3837677	15	13
642	3837793	128	57
643	3838585	136	100
644	3839491	61	26
645	3839830	3443	961
646	3857710	918	125
647	3862558	1092	253
648	3868144	23	9
649	3868286	2	2
650	3868303	2	2
651	3868320	187	89
652	3869510	692	430
653	3873528	56	23
654	3873899	444	99
655	3876283	18	14
656	3876412	43	22
657	3876687	70	13
658	3877088	120	65
659	3877784	184	128
660	3878952	246	107
661	3880414	232	131
662	3881884	325	159
663	3883782	173	76
664	3884743	111	70
665	3885481	873	392
666	3890650	492	275
667	3893588	96	55
668	3894213	54	34
669	3894527	5	5
670	3894568	1012	587
671	3900547	475	197
672	3903181	21	21
673	3903324	712	364
674	3907312	241	195
675	3908764	23	23
676	3908925	411	287
677	3911252	1889	730
678	3921232	1241	429
679	3927857	1027	467
680	3933359	1090	481
681	3939429	3	3
682	3939451	203	74
683	3940643	37	27
684	3940896	16	9
685	3940999	250	166
686	3942504	52	39
687	3942864	212	133
688	3944183	1288	417
689	3950965	68	35
690	3951408	12	10
691	3951497	33	26
692	3951734	497	219
693	3954707	1684	400
694	3963738	150	95
695	3964745	1894	326
696	3974303	265	136
697	3975844	3744	630
698	3994095	255	141
699	3995660	512	125
700	3998637	59	52
701	3999056	462	296
702	4001737	406	73
703	4004133	47	33
704	4004467	1719	594
705	4014146	772	433
706	4018749	499	234
707	4021681	1040	395
708	4027716	136	72
709	4028555	50	33
710	4028904	991	317
711	4034450	236	72
712	4035761	381	239
713	4038003	1260	594
714	4045111	1640	649
715	4054370	156	66
716	4055423	629	227
717	4058972	508	326
718	4062025	215	112
719	4063395	64	42
720	4063834	1145	508
721	4070280	1088	484
722	4076426	401	267
723	4078928	49	27
724	4079263	230	132
725	4080686	619	285
726	4084257	443	171
727	4086754	782	388
728	4090945	183	95
729	4092045	2115	435
730	4102720	1260	472
731	4109993	22	19
732	4110150	1601	622
733	4119231	757	145
734	4123073	720	301
735	4127251	1231	232
736	4133906	22	17
737	4134054	2	2
738	4134071	2	2
739	4134088	20	8
740	4134218	3418	741
741	4150920	7	6
742	4150979	1153	409
743	4157614	15	10
744	4157726	159	64
745	4158720	2	2
746	4158737	314	224
747	4160705	137	68
748	4161571	11352	567
749	4215241	116	63
750	4215986	11	3
751	4216051	196	109
752	4217247	36	35
753	4217516	562	183
754	4220780	2416	576
755	4233790	6	2
756	4233829	397	208
757	4236242	97	63
758	4236852	57	32
759	4237227	15	5
760	4237315	29	21
761	4237525	1914	757
762	4248023	108	88
763	4248744	636	342
764	4252484	333	249
765	4254565	2	2
766	4254582	31	17
767	4254808	2502	460
768	4266619	471	267
769	4269275	2351	881
770	4281597	202	112
771	4282801	127	102
772	4283640	26	16
773	4283819	843	388
774	4288656	1053	257
775	4294541	355	204
776	4296805	138	103
